PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
Gurnoor Singh Brar,Indian,Bowler,0.0,2315611.0,0.0,2000000.0,23.0679205
Saurabh Dubey,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,23.0679205
Mrinmoy Dutta,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,23.0679205
Vishal Godara,Indian,Bowler,0.0,2109990.0,0.0,2000000.0,23.0679205
Money Grewal,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,23.0679205
Arpit Guleria,Indian,Bowler,0.0,2116950.5,0.0,2000000.0,23.0679205
Mukhtar Hussain,Indian,Bowler,0.0,2114630.5,0.0,2000000.0,23.0679205
Shamar Joseph,Overseas,Bowler,0.0,2126024.0,0.0,2000000.0,23.0679205
Mohammed Kaif,Indian,Bowler,0.0,2362440.0,0.0,2000000.0,27.865756
Shubham Kapse,Indian,Bowler,0.0,2120430.5,0.0,2000000.0,23.0679205
Devang Karamta,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,23.0679205
Kulwant Khejroliya,Indian,Bowler,0.0,2637747.0,0.0,2000000.0,22.553641
Ravi Kumar,Indian,Bowler,0.0,3582952.8,0.0,2000000.0,31.807554999999997
Ashwani Kumar,Indian,Bowler,0.0,2116950.5,0.0,2000000.0,23.0679205
Raj Limbani,Indian,Bowler,0.0,2107670.0,0.0,2000000.0,23.0679205
Kwena Maphaka,Overseas,Bowler,0.0,2117903.5,0.0,2000000.0,23.0679205
Lukman Hussain Meriwala,Indian,Bowler,0.0,2070688.6,0.0,2000000.0,23.0679205
Venkatesh Muralidhara,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,23.0679205
William O'Rourke,Overseas,Bowler,0.0,2123704.0,0.0,2000000.0,23.0679205
